YEAR,STATE,RATE,DEATHS
2019,AL,44.6,2659
2019,AK,25.3,128
2019,AZ,32.3,3047
2019,AR,39.5,1507
2019,CA,37,16859
2019,CO,33.4,1909
2019,CT,18.1,967
2019,DE,25.9,339
2019,FL,18.3,6539
2019,GA,41.9,4221
2019,HI,19.1,471
2019,ID,33.2,650
2019,IL,24.5,3954
2019,IN,31.6,2561
2019,IA,29.2,1344
2019,KS,21.9,839
2019,KY,32.1,1684
2019,LA,41.4,2165
2019,ME,25.9,544
2019,MD,13.8,1012
2019,MA,17.7,1663
2019,MI,33.9,4467
2019,MN,34.9,2552
2019,MS,48.8,1662
2019,MO,34.1,2782
2019,MT,22.6,326
2019,NE,30.3,768
2019,NV,21.6,678
2019,NH,27.8,511
2019,NJ,21.7,2629
2019,NM,21.3,568
2019,NY,13.7,3753
2019,NC,36.9,4508
2019,ND,37.6,403
2019,OH,33.6,5234
2019,OK,37.9,1775
2019,OR,37.2,1992
2019,PA,21.2,4150
2019,RI,28.9,456
2019,SC,37.9,2323
2019,SD,40.5,495
2019,TN,41.1,3252
2019,TX,38.6,10101
2019,UT,39,980
2019,VT,35.1,315
2019,VA,26.9,2631
2019,WA,42.2,3585
2019,WV,32.3,832
2019,WI,30.5,2390
2019,WY,34.4,238
2018,AL,44.9,2616
2018,AK,27.5,131
2018,AZ,33,3012
2018,AR,38.9,1457
2018,CA,37.1,16627
2018,CO,29.6,1649
2018,CT,18.5,986
2018,DE,32.7,412
2018,FL,19.2,6725
2018,GA,46.5,4513
2018,HI,20.2,480
2018,ID,35,666
2018,IL,25.3,4030
2018,IN,33.4,2668
2018,IA,31.7,1439
2018,KS,23.6,899
2018,KY,32.5,1674
2018,LA,42.2,2166
2018,ME,28.4,580
2018,MD,15.8,1122
2018,MA,19.5,1823
2018,MI,34.3,4474
2018,MN,33.7,2436
2018,MS,46,1547
2018,MO,32.9,2641
2018,MT,21.7,310
2018,NE,27.4,683
2018,NV,23.6,704
2018,NH,26.4,487
2018,NJ,22.7,2710
2018,NM,22.4,583
2018,NY,13.9,3755
2018,NC,37.9,4495
2018,ND,33.8,356
2018,OH,34.9,5391
2018,OK,37.9,1739
2018,OR,35.6,1868
2018,PA,20.7,4064
2018,RI,29.2,470
2018,SC,44.3,2616
2018,SD,36.3,437
2018,TN,45,3488
2018,TX,38.4,9763
2018,UT,42.1,1024
2018,VT,37.7,333
2018,VA,27.1,2592
2018,WA,45.2,3752
2018,WV,31,791
2018,WI,31.7,2453
2018,WY,41.5,277
2017,AL,45.2,2563
2017,AK,22.1,98
2017,AZ,35.1,3058
2017,AR,39.4,1436
2017,CA,37.1,16238
2017,CO,34.2,1830
2017,CT,20.4,1077
2017,DE,30.5,377
2017,FL,20.7,6980
2017,GA,46,4290
2017,HI,19.7,465
2017,ID,36.6,672
2017,IL,25.6,4021
2017,IN,35.3,2771
2017,IA,35.3,1597
2017,KS,24.3,894
2017,KY,35,1765
2017,LA,43.7,2188
2017,ME,30.4,601
2017,MD,17.1,1191
2017,MA,19.9,1841
2017,MI,34.5,4428
2017,MN,34.9,2474
2017,MS,49.5,1626
2017,MO,32.3,2545
2017,MT,20.9,285
2017,NE,28.5,698
2017,NV,27.3,779
2017,NH,24.8,436
2017,NJ,23.6,2829
2017,NM,22.7,572
2017,NY,13.2,3521
2017,NC,37.3,4289
2017,ND,36.5,387
2017,OH,33.6,5117
2017,OK,39.3,1752
2017,OR,36,1850
2017,PA,21.7,4213
2017,RI,27.3,435
2017,SC,44.9,2549
2017,SD,36.9,444
2017,TN,46.7,3522
2017,TX,38.5,9545
2017,UT,42.1,991
2017,VT,42.9,370
2017,VA,27.6,2549
2017,WA,46,3710
2017,WV,30.6,770
2017,WI,31.6,2428
2017,WY,32.7,212
2016,AL,45,2507
2016,AK,25.8,111
2016,AZ,35.8,3082
2016,AR,41.3,1475
2016,CA,36.1,15570
2016,CO,34.7,1835
2016,CT,20.3,1035
2016,DE,27.4,329
2016,FL,21.5,7155
2016,GA,44.8,4021
2016,HI,20.1,445
2016,ID,33.9,607
2016,IL,25.4,3877
2016,IN,34.9,2678
2016,IA,31.3,1415
2016,KS,23.1,855
2016,KY,35.1,1728
2016,LA,45,2195
2016,ME,29.6,577
2016,MD,17.4,1178
2016,MA,18.6,1708
2016,MI,33.6,4249
2016,MN,31.8,2219
2016,MS,45.8,1485
2016,MO,30,2302
2016,MT,22.6,314
2016,NE,26.2,634
2016,NV,24.6,686
2016,NH,24.8,430
2016,NJ,21.1,2435
2016,NM,23.5,583
2016,NY,13.1,3349
2016,NC,37.2,4153
2016,ND,35.3,361
