YEAR,STATE,RATE,DEATHS
2019,AL,51.5,3141
2019,AK,34.9,210
2019,AZ,30.2,2851
2019,AR,40.7,1561
2019,CA,37.3,16851
2019,CO,33.7,1990
2019,CT,26.7,1375
2019,DE,45.1,594
2019,FL,40.4,13902
2019,GA,41.9,4539
2019,HI,37.1,807
2019,ID,34,683
2019,IL,38.8,6153
2019,IN,41.4,3361
2019,IA,32.1,1412
2019,KS,34.8,1303
2019,KY,42.5,2296
2019,LA,44.1,2386
2019,ME,31.4,643
2019,MD,41.8,3049
2019,MA,26.7,2464
2019,MI,39.3,5178
2019,MN,33,2365
2019,MS,52.1,1851
2019,MO,37.7,3031
2019,MT,28.8,413
2019,NE,31.5,769
2019,NV,37.9,1284
2019,NH,28.5,526
2019,NJ,30.3,3550
2019,NM,33.3,886
2019,NY,23.8,6192
2019,NC,41.5,5202
2019,ND,31.7,308
2019,OH,42.2,6504
2019,OK,38.4,1803
2019,OR,39.5,2134
2019,PA,35.3,6658
2019,RI,26.9,407
2019,SC,42.2,2703
2019,SD,32.2,372
2019,TN,41.8,3435
2019,TX,39,10807
2019,UT,34.7,912
2019,VT,29.7,269
2019,VA,38.3,3828
2019,WA,35,3032
2019,WV,40.2,1035
2019,WI,32.3,2488
2019,WY,31.7,221
2018,AL,51.5,3088
2018,AK,40,216
2018,AZ,31,2836
2018,AR,41.5,1551
2018,CA,37,16457
2018,CO,34.7,1996
2018,CT,27.2,1388
2018,DE,46.4,605
2018,FL,39.6,13255
2018,GA,43.4,4553
2018,HI,37.4,786
2018,ID,36.4,718
2018,IL,37.3,5855
2018,IN,39.3,3151
2018,IA,33,1440
2018,KS,35.9,1296
2018,KY,41.5,2204
2018,LA,46.7,2485
2018,ME,33.7,690
2018,MD,40.3,2883
2018,MA,27.1,2466
2018,MI,40,5183
2018,MN,32.2,2270
2018,MS,51.8,1805
2018,MO,38.5,3039
2018,MT,30.1,418
2018,NE,31.5,758
2018,NV,36.6,1190
2018,NH,27.2,499
2018,NJ,29.8,3444
2018,NM,31.8,838
